user_id,datei,dev,years,item_id
KanadeTheNeko,2014-02-12,Arkane Studios,,753110.0
Leaf_Light_Moscow,2014-02-09,Firaxis Games,,753100.0
erickoiv,2015-10-31,PopTop,,769350.0
GoAwayZach,2016-02-27,"Firaxis Games,Feral Interactive (Mac)",,764280.0
76561198054540475,2015-02-04,Elephant Games,,374970.0
darkenkane,2016-08-23,"MicroProse Software, Inc",,758550.0
76561198100701221,2014-04-05,"Crystal Dynamics,Feral Interactive (Mac)",,3800.0
76561198085547365,2015-01-08,Telltale Games,,1520.0
76561198061252210,2015-10-26,id Software,,2420.0
OfficialShroomsy,2016-05-16,Freegamer,,4000.0
76561198056147391,2013-03-20,Gray Matter Studios,,4230.0
8Bit-Ninja,2015-12-28,Ritual Entertainment,,4900.0
76561198071500702,2015-05-19,Terminal Reality,,2520.0
76561198099905030,2015-12-15,Rogue Entertainment,,6200.0
76561198047407223,2016-03-31,Metamorf,,6210.0
latiano,2015-08-21,Relic Entertainment,,6300.0
kongtape,2014-10-17,"2K Boston,2K Australia",,2990.0
boydeer,2014-06-27,The Creative Assembly,,6220.0
76561198100297613,2014-04-28,Big Fish Games,,6510.0
VVillis,2015-11-12,Rockstar North,,3980.0
Bubblecup,2014-06-18,Rockstar San Diego,,1700.0
76561198083226897,2014-11-20,Remedy Entertainment,,6310.0
76561198082525427,2014-05-29,Crystal Dynamics,,3990.0
76561198075277292,2016-07-09,EA Los Angeles,,7610.0
76561198094630961,2014-12-29,Infinite Interactive,,7600.0
12549,2015-02-13,Momentum Digital Media Technologies,,7620.0
76561198028895010,2014-12-26,"Gamebryo,Virtual Playground",,2540.0
76561198092411867,2014-02-04,SCS Software,,7650.0
76561198170198366,2015-05-21,Pivotal Games,,8000.0
diego9031,2013-12-06,Bohemia Interactive,,6550.0
iampiepiepie,2014-05-12,Retroism,,8200.0
76561198079863506,2015-08-24,Spellbound,,2290.0
jarrodtrim,2015-01-06,Haggard Games,,2570.0
76561198078738103,2015-12-22,Eugen Systems,,8210.0
76561198068964564,2015-06-23,"Frontier,Aspyr (Mac)",,2280.0
76561198067936203,2015-09-11,"Epic Games, Inc.",,9160.0
76561198079770573,2013-04-22,Sanzaru Games,,2300.0
UpTheAss,2012-05-27,Ubisoft,,2270.0
76561198048504366,2016-01-18,Crytek Studios,,9010.0
76561197977385164,2016-07-30,Ubisoft Montreal,,9040.0
76561198075491015,2016-07-28,Last Day of Work,,9000.0
76561198087586464,2015-12-05,SpinTop Games,,3810.0
76561198086878953,2015-10-04,MumboJumbo,,9030.0
Derp-e,2015-10-03,"Ubisoft Bulgaria,Ubisoft Montpellier",,2310.0
76561198070194565,2015-08-13,Ubisoft Romania,,3230.0
Rivtex,2015-02-22,1C: Maddox Games,,9310.0
firefreddy,2015-01-14,"Merscom,Babylon",,7670.0
UTNerd24,2013-12-14,BigAnt Studios,,4570.0
sandwiches1,2013-12-01,Zemnott,,4580.0
76561198093083895,2012-02-11,Gabriel Entertainment,,4760.0
76561198138053270,2016-02-20,Frogwares,,4770.0
76561198062422084,2015-03-12,Eurocom,,50970.0
steamurl,2015-10-14,"Luc Bernard,SilverSphereStudios",,12170.0
lucaswerg,2013-10-27,Lesta Studio,,12180.0
Life-Of-Blu,2015-11-27,Dialogue Design,,12130.0
CaptianAutismo,2014-10-09,Oddworld Inhabitants,,12160.0
maxgp,2016-05-07,GSC Game World,,12150.0
AppaTheSwagBison,2016-04-04,Crytek,,7000.0
knightboy991,2016-03-30,CD PROJEKT RED,,12140.0
76561198034678103,2016-03-28,"Tilted Mill Entertainment, Inc.",,17480.0
76561198075895633,2015-11-09,"Red Storm Entertainment,Ubisoft Montreal",,12500.0
TheDropix101,2015-12-23,Traveller's Tales,,12310.0
kube134,2014-05-06,Monte Cristo,,12510.0
iamthekingofbrowntown,2015-12-02,Gearbox Software,,12530.0
MainScout,2015-06-06,Dark Castle Software,,12520.0
gdxsd,2015-09-29,Techland,,8100.0
yookobz,2014-09-08,Nival,,2780.0
Posiblydead,2013-12-15,Blue Byte,,9730.0
Mossy_Gaming,2015-11-23,Red Storm Entertainment,,9710.0
76561198093817084,2014-06-01,"PopCap Games, Inc.",,9800.0
76561198102421718,2014-07-11,2D BOY,,9760.0
76561198079045885,2014-11-14,Egosoft,,2700.0
76561198087407319,2015-11-13,Sandstorm Productions,,2710.0
76561198074466513,2015-12-17,Shorebound Studios,,13200.0
damo131,2014-10-26,Perpetual FX Creative,,13250.0
19702316748,2016-01-11,Rockstar New England,,13000.0
FrystHjarte,2014-06-28,Meridian4,,13560.0
76561198056741844,2015-09-12,RailSimulator.com,,13520.0
sad-commie,2015-09-13,Reppo,,13240.0
Sillybaby,2016-04-20,Dovetail Games,,13540.0
76561198030567998,2016-02-26,Volition,,15210.0
76561198010674657,2015-11-19,EA Redwood Shores,,16180.0
Coldaniel,2013-06-25,Liquid Entertainment,,3520.0
therealmorty,2014-04-11,DICE,,15970.0
itslonk,2014-02-22,Hidden Path Entertainment,,15950.0
DeDroidUreLookin4,2012-09-24,Monolith,,15960.0
Berserklejerker,2015-09-26,Oxeye Game Studio,,15900.0
76561198088799241,2015-06-12,Inventive Dingo,,15910.0
76561198061730629,2015-08-03,Black Sea Studios Ltd,,15930.0
YoHuNz,2015-06-26,Realmforge Studios,,15160.0
possessioniskey,2014-01-15,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",,15920.0
76561198072732874,2014-10-14,Deadline Games,,15080.0
76561198093112529,2016-08-31,Frictional Games,,15200.0
sevqu,2014-07-09,Radon Labs,,15320.0
76561198060447950,2014-03-13,Certain Affinity™,,15240.0
whiteofwolfing,2014-11-11,Tale of Tales,,8310.0
76561198056857968,2015-07-21,Criterion Games,,12600.0
sergarino,2015-07-05,Zombie Master Team,,8320.0
PyroCreed,2014-02-23,Twisted Pixel Games,,12590.0
76561198052897627,2016-03-27,IonFX,,12580.0
76561198081962345,2016-01-15,Llamasoft LTD,,12560.0
76561198039266268,2015-03-22,"InnoGlow,Stormregion,THQ Nordic",,12570.0
76561198094224872,2014-08-21,ArenaNet®,,12540.0
76561198073210139,2015-03-13,Reality Pump Studios,,11050.0
Nozomikat,2015-03-20,Gaijin Entertainment,,10520.0
76561198076933844,2015-03-07,ACE Team,,11040.0
76561198072186059,2015-10-10,1C Company,,19500.0
xfluttersx,2014-07-06,Sky Fallen,,11260.0
76561198068621601,2014-06-19,Irrational Games,,19200.0
76561198056290589,2015-04-11,SaintXi,,12360.0
thompyawesomeness,2015-12-24,Darklight Games,,15710.0
ii_voltage_ii,2014-05-17,Radical Entertainment,,15700.0
76561198097762318,2014-08-09,Erik Svedäng,,8660.0
Hirukaz,2015-05-22,Ascaron Entertainment ltd.,,7770.0
StelerForYou,2015-08-22,Headfirst Productions,,7660.0
76561198183396245,2016-05-26,Bethesda Game Studios,,7760.0
otteloo,2016-04-30,Bethesda Game Studios®,,20510.0
shinra420,2015-12-30,Deck 13,,17330.0
Xx-Woods,2014-08-01,NovaLogic,,17300.0
kevinator23,2015-12-26,Mascot Entertainment,,7730.0
tonyballoney,2015-04-14,HeR Interactive,,20900.0
76561198090715178,2014-12-30,Digital Eel,,1530.0
CatsWhale,2013-12-04,"ValuSoft, Retroism",,8690.0
Child_Vs_Puddle,2016-08-19,Capcom,,17120.0
76561198073784601,2015-11-10,Frontier,,16810.0
mimimomoma,2016-09-14,LucasArts,,19830.0
76561198102410011,2012-08-27,Planet Moon Studios,,21000.0
de_Butl3r,2014-02-05,Pandemic Studios,,4460.0
76561198157999555,2013-01-27,GFI Russia,,17140.0
76561198027947401,2015-08-25,Targem Games,,15390.0
Bluezap1,2014-12-16,Her Interactive,,21300.0
76561198074200011,2014-03-08,Wanako Games,,3050.0
jonasdbomb,2013-11-16,Sierra,,15380.0
L1J1N,2015-11-11,Saber Interactive,,19800.0
Lord_Exploit,2013-01-17,Tripwire Interactive,,15370.0
76561198079106676,2015-07-17,Artech Studios,,19930.0
76561198092244787,2013-12-29,"PopTop Software,BreakAway Games,Frog City Software",,15350.0
Sanctus94,2015-05-06,Sakari Indie,,19810.0
76561197990792016,2016-07-20,"BioWare,Aspyr (Mac)",,3540.0
76561198068415226,2015-01-26,Hemisphere Games,,22000.0
AVATAR715,2014-11-16,Black Isle Studios,,2820.0
76561198073987767,2014-08-17,14° East,,1230.0
Fluxxyz,2014-07-21,Xatrix Entertainment,,18300.0
76561198092150873,2014-07-19,Shiny Entertainment,,20200.0
YieuwMage,2014-02-08,IO Interactive,,12200.0
76561198078752187,2014-01-07,iWin,,19900.0
Nfkted_CS,2015-07-06,Size Five Games,,11240.0
A-Very-Sly-Person,2015-09-06,Unicorn Games Studio,,256522.0
76561198211054671,2014-04-24,Blue Fang,,275144.0
76561197994493402,2015-01-27,"Freeze Tag Inc.,iQ212",,256521.0
Koolcaz12,2015-01-25,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",,222569.0
76561198065656175,2014-05-24,"Vectorpark, Inc.",,256535.0
76561198188979775,2012-10-20,All Aboard,,256611.0
97396295,2014-03-28,PlayFirst,,256576.0
M1ss_P1nk,2015-02-23,Piranha Bytes,,9480.0
xoFushiox,2015-08-29,Honeyslug,,17470.0
76561198126640317,2014-11-23,Amanita Design,,12770.0
DemonicWolvz,2014-09-09,Slightly Mad Studios,,17410.0
DieMadchenschanderin,2015-03-26,Runic Games,,18500.0
76561198052784112,2016-07-08,FireFly Studios,,16450.0
76561198072706529,2015-09-14,Nitro Games,,15400.0
76561198215949741,2014-10-13,Homegrown Games,,18600.0
GGargula,2016-07-23,"Phenomic,THQ Nordic",,11340.0
Myther43,2015-12-27,Animation Arts,,25830.0
getf0kinn0sc0pedm9,2015-05-13,Stormregion,,23460.0
76561198141443390,2015-12-21,Konstantin Koshutin,,10600.0
76561198031924053,2015-11-15,Phenomic,,21010.0
76561198097333029,2016-09-09,Wargaming.net,,22180.0
dominiclim99,2014-06-13,Croteam,,13210.0
whodafuqisthisguilao,2015-01-07,BioWare,,12640.0
76561198072205329,2014-01-02,Citeremis Inc.,,21600.0
Icamebackbitches,2015-11-18,Yullaby,,27020.0
Magjiikal,2014-03-18,Crystal Empire Games,,24740.0
ohnospaghet,2014-02-16,"Infinity Ward,Aspyr (Mac)",,90047.0
76561198060062487,2015-02-25,"Traveller's Tales,Feral Interactive (Mac)",,26000.0
76561198050347115,2015-08-15,"Triumph Studios,Virtual Programming",,26006.0
2768820078,2014-12-25,KranX Productions,,26005.0
76561198049968536,2016-02-22,Positech Games,,11330.0
76561198056392326,2015-08-14,inXile Entertainment,,27800.0
2d4nk4m3,2016-05-29,Defence Alliance Team,,9850.0
76561198074003102,2016-07-03,"LucasArts,Aspyr Studios",,3600.0
76561198078478151,2016-06-20,Paradox Interactive,,29580.0
exiaez,2015-03-01,Hip Soft,,29540.0
BURNINGchicken3,2014-11-27,Spidermonk Entertainment,,29560.0
76561198066835162,2016-05-17,ClockStone Studios,,29570.0
76561198069593452,2015-11-20,Octoshark Studios,,23700.0
undietaker,2016-09-17,Alawar,,16060.0
76561198095921854,2014-08-23,Sandlot Games,,1930.0
EizanAratoFujimaki,2014-06-17,Cateia Games,,18470.0
POOTISSPENSOR,2014-07-10,Chaos Concept,,7510.0
angorabug,2016-08-26,New Star Games Ltd,,22200.0
TeCool,2015-06-15,The Farm 51,,26007.0
ZyhgarThestarweaver,2015-02-14,Awem Studio,,25900.0
2xDelorean,2015-07-01,Rebellion,,16200.0
washington_,2015-01-15,TaleWorlds Entertainment,,7840.0
jewxxl,2015-04-29,ZoopTEK,,8890.0
76561198088944293,2015-03-29,Beatnik Games,,8880.0
76561198092540221,2013-12-26,Fatshark,,34500.0
76561198061769804,2015-10-05,Rockstar North / Toronto,,1280.0
76561198061475436,2016-06-29,Other Ocean Interactive,,10150.0
76561198051258119,2013-06-14,Nemesys Games,,29160.0
76561198065771371,2016-09-04,Cold Beam Games,,12470.0
nubquake123,2016-07-16,The Odd Gentlemen,,22340.0
Pyromanic,2015-05-31,THQ Nordic,,22330.0
76561198109656922,2016-06-26,Red Chain Games Ltd.,,22320.0
76561198149432604,2015-05-03,"The Creative Assembly,Feral Interactive (Mac)",,900883.0
Unplanned_stategy,2016-06-14,Sarbakan,,12440.0
CobRazor,2015-08-06,Absolutist Ltd.,,32710.0
relesprit,2014-12-17,G5 Entertainment,,32740.0
76561198090294067,2014-09-30,ISOTX,,12460.0
jimmyarcexd,2015-03-10,Climax Studios,,21980.0
talove112345,2016-01-16,Press Play,,31860.0
76561198055094875,2016-03-05,Muse Games,,31900.0
WitchHunter4542,2016-03-19,Ideas Pad,,31920.0
76561198203244300,2015-09-01,Kokakiki,,31930.0
pwrt,2016-04-19,SEGA,,35800.0
wantmahbody,2016-04-18,D3T Limited,,12690.0
76561198115868847,2015-08-08,Obsidian Entertainment,,31170.0
benedictcuminherbatch,2015-07-15,Team17 Software Ltd.,,21660.0
76561198031207016,2015-05-11,"EA - Maxis,Aspyr (Mac)",,6080.0
76561198089077856,2015-05-02,"Akella,.dat",,6010.0
76561198043458582,2016-02-07,"Arcen Games, LLC",,6090.0
kerim77,2016-01-30,Invent4 Entertainment,,6060.0
smashiroshh,2014-08-20,Dagger Games,,32310.0
shark854,2016-04-10,Rune Forge,,32330.0
76561198062876401,2016-09-15,N3V Games,,32360.0
76561198011661078,2015-05-01,Ino-Co,,35300.0
PabloSanches,2015-10-28,"2K Czech,Feral Interactive (Mac)",,35310.0
76561197991074667,2016-04-15,doublesix,,31980.0
killbunny38,2014-12-15,Playbrains,,31990.0
76561198047630659,2014-12-06,Paradox Development Studio,,10140.0
76561198069713121,2015-01-31,VStep,,10100.0
1997-07-06_J077,2013-07-26,Team17 Digital Ltd,,10130.0
76561198076248461,2013-05-18,Muzzy Lane Software,,10110.0
1337lolroflmao,2011-10-30,DnS Development,,1256.0
76561198080832419,2015-12-13,Revolution Software Ltd,,10120.0
76561198151645088,2015-05-18,Zoë Mode,,33520.0
IAA_Recon_Dropbear,2016-06-22,City Interactive,,3610.0
sithjjf,2016-07-14,Terry Cavanagh,,21680.0
goonbagger,2016-06-27,EasyGameStation,,21670.0
76561198060039459,2016-03-08,Dedication Games,,21030.0
OzfurAtlas,2014-12-13,exosyphen studios,,36000.0
76561198065593074,2015-07-31,Subsoap,,32370.0
madmax64,2015-06-29,Gaming Minds Studios,,29180.0
76561198044169764,2015-02-12,Katauri Interactive,,38410.0
euzi,2014-03-29,"Firaxis Games,Aspyr (Mac, Linux)",,38420.0
76561198074935997,2014-04-21,Blind Mind Studios,,38430.0
76561197961778802,2013-02-15,Krome Studios,,38440.0
lucasrash,2015-08-01,Vigil Games,,35050.0
76561198016602703,2013-12-27,NeoCoreGames,,31180.0
76561198082845362,2014-07-16,Triumph Studios,,37960.0
76561198087767019,2015-01-13,I Sioux Game Productions B.V.,,38000.0
thisissohardtomakeoneup,2014-01-11,Electronic Arts,,37400.0
76561198087010391,2015-09-03,"Headup Games,Silent Dreams",,13570.0
76561198015747875,2014-01-20,"CAPCOM CO., LTD.",,11390.0
66666669999999,2014-05-03,Stickmen Studios,,34420.0
76561198061174192,2016-05-01,Dmytry Lavrov,,43100.0
DoaFapbeforeaNap,2014-08-02,Ivy Games,,33730.0
ReMiXOfficalSteam,2014-03-17,Noumenon Games,,35000.0
Wilfire77,2015-07-19,Hothead Games,,39392.0
76561198042730234,2015-05-26,Klei Entertainment,,39391.0
76561198069159579,2015-11-22,Teotl Studios,,37600.0
76561198086476445,2014-10-18,Aspyr Studios,,24029.0
76561198085016240,2016-03-07,Firemint,,32140.0
76561198060808273,2015-01-22,Gaijin Games,,31190.0
76561198084390807,2015-08-20,Tomkorp Computer Solutions Inc.,,32770.0
76561198003688205,2015-05-14,Double Helix Games,,208306.0
Mastic,2015-04-13,Centauri Production,,37300.0
Scooterinooo,2014-10-01,Altar Games,,208300.0
76561198028286104,2013-12-28,React Games,,40300.0
76561198088447673,2014-11-30,Treyarch,,35070.0
tarjla,2015-01-05,Sonic Boom Games,,10606.0
deathnz1,2014-12-23,Joshyy,,40700.0
readingthis4noobs,2014-10-04,"Ntreev Soft Co., Ltd.",,24840.0
SonicMCGamer,2016-01-10,Rockstar Games,,24870.0
xXBoss1Xx,2016-09-12,Crystal Dynamics Inc.,,41500.0
76561198084698198,2013-12-08,Brightside Games,,24800.0
76561198104393251,2015-11-06,Extend Studio,,901735.0
Borne901,2016-06-25,BlueGiant Interactive,,42800.0
76561198075322986,2015-09-23,Visceral Games,,39560.0
redsncrimson,2014-05-31,Big Fish Studios,,39550.0
76561198151910904,2015-06-24,Uber Entertainment,,40330.0
H1DD3NT3RR0R,2015-07-22,The Sims Studio,,40320.0
76561198071214618,2016-03-20,Trinoteam,,31200.0
76561198115115631,2015-06-03,Virtual Prophecy Entertainment,,3130.0
sisiiik,2014-07-26,Mediatonic,,41100.0
76561198071175142,2016-05-15,Cyan Worlds,,39540.0
t8s,2016-05-13,Petroglyph,,34640.0
pikawuu2,2016-07-10,Jellyvision,,34630.0
Sammeh00,2016-08-16,Eden Studios,,42200.0
godlike_bot,2016-07-31,DTP,,41000.0
76561198044204914,2016-03-06,Stainless Games,,40340.0
dpswaffles,2014-04-23,Fakt Software,,17450.0
NoObFiGHtEr,2016-09-08,"Kaos Studios,Digital Extremes",,37100.0
Michaelele,2016-09-02,Red Redemption,,37500.0
76561198045754869,2014-04-12,Copenhagen Game Collective,,42810.0
76561198076098774,2015-04-04,"Relic Entertainment,Feral Interactive (Mac/Linux)",,10180.0
76561198074963071,2014-09-14,"Relic Entertainment,Feral interactive (Mac/Linux)",,32440.0
76561198103253374,2015-10-12,Trion Worlds,,11450.0
76561198048417105,2015-12-01,Stout Games,,12710.0
76561197989175394,2014-05-10,Black Lion Studios,,24790.0
76561198090842891,2016-03-25,Colossal Order Ltd.,,29120.0
76561198058706736,2014-12-27,11 bit studios,,24810.0
76561198055767971,2016-07-07,Ntronium Games,,41800.0
76561197998052647,2014-07-13,Martin Ivanov,,45300.0
adohya343,2015-01-28,800 North and Digital Ranch,,41900.0
76561198145436942,2014-05-08,Arrowhead Game Studios,,35420.0
jjas01,2013-11-21,Coffee Stain Studios,,32430.0
3xotic26,2013-12-07,1C:InoCo,,25806.0
iamthetrashlord,2013-02-09,Mode 7,,22370.0
nothingheretrustme,2014-01-09,inner seas,,41802.0
76561198071253729,2016-07-18,Behaviour,,38080.0
3dster,2016-05-14,Microids,,38090.0
76561198041808338,2016-06-18,Red Duck Inc.,,38100.0
76561198016685643,2013-01-09,Cryptic Studios,,38070.0
_za,2012-11-30,Grey Havens,,38210.0
76561198035588228,2016-04-22,"Apus Software,Three Donkeys LLC",,45700.0
76561198079990063,2014-03-10,Peter Brinson and Kurosh ValaNejad,,46410.0
Forty-Nine,2014-02-27,Bacon Wrapped Games,,38110.0
76561198051017916,2013-11-25,Murudai,,17570.0
L4M1NAS,2014-06-11,Totem Games,,38130.0
emurphy8,2015-09-04,Totem games,,38160.0
76561198096766604,2015-08-10,Day 1 Studios,,38150.0
Sephirical,2015-07-07,Bedlam Games,,38120.0
76561197995322437,2016-03-12,Giants Software,,38140.0
imsojipper,2013-09-15,Ageod,,36300.0
76561198066840831,2014-11-04,Secret Base,,36310.0
76561198096220900,2014-08-07,YeaBoing,,36320.0
76561198084542731,2014-06-30,Mystic Box,,37030.0
fullswag0to100realquick,2015-08-07,Digitalmindsoft,,32450.0
76561198061913628,2015-08-02,"Dejobaan Games, LLC",,34180.0
76561198102121026,2014-02-24,Lunar Giant,,44100.0
76561198023094381,2015-02-27,Zachtronics,,25960.0
76561198103671881,2016-08-13,Haemimont Games,,46250.0
mrpfresh,2016-02-14,Total Eclipse,,38180.0
GamerFag,2015-01-16,Two Tribes,,10695.0
76561197970628046,2015-06-10,MinMax Games Ltd.,,41050.0
76561198013858002,2016-02-24,TimeGate Studios,,24055.0
76561198058570014,2015-10-17,Three Rings,,48700.0
76561198045133986,2013-10-08,Relic,,39900.0
CocoRichy,2014-02-18,Flying Wild Hog,,49900.0
EHS-R3AP3R,2014-06-04,"Octane Games,Meridian4",,42120.0
76561198002820828,2016-03-02,PomPom,,12220.0
chidori_647,2014-02-26,NGD Studios,,45730.0
76561198092227136,2013-07-15,Blackhole,,45400.0
76561197975388604,2015-06-16,Gas Powered Games,,49600.0
hellcat59,2014-07-20,Edmund McMillen and Florian Himsl,,901399.0
76561198007584361,2014-08-28,1C-Avalon,,43500.0
tbimperator,2015-05-30,Steel Monkeys,,45302.0
Allahu_Akbar666,2014-05-26,"Games Farm,3Division",,40930.0
ulramite,2016-08-15,Capcom Vancouver,,39640.0
76561198080534850,2015-03-05,Days of Wonder,,39630.0
-GM-Dragon,2015-07-23,Double Fine Productions,,23150.0
LeoRocksAce,2014-07-07,"Vlambeer,Croteam",,50940.0
76561198054040292,2016-08-22,Iridium Studios,,50920.0
76561198078799606,2015-10-16,b-Alive,,34178.0
76561198155458511,2016-01-09,Spellbound Studios,,37340.0
76561198045065985,2012-07-15,KTX Software,,37390.0
I_DID_911_JUST_SAYING,2011-01-27,Robot Entertainment,,37310.0
76561198077035732,2010-12-16,Daybreak Game Company,,37360.0
76561198072625764,2015-09-09,"Haemimont Games,Feral Interactive (Mac)",,49000.0
A_Je_100,2015-10-15,Devil's Details,,37330.0
imagoatieatpoo,2013-11-26,"Infinity Ward,Sledgehammer Games,Aspyr (Mac)",,37320.0
750805,2013-12-12,"Team Bondi,Rockstar Leeds",,37370.0
76561198080881726,2014-03-05,Final Form Games,,37380.0
Thatishayden,2013-11-30,Trendy Entertainment,,19080.0
76561198033864626,2013-12-02,Cipher Prime Studios,,31700.0
Flabbernackle,2013-11-28,Digital Reality,,19030.0
diabeticfuck,2014-09-11,Rocksteady Studios,,50820.0
magicalpony,2014-07-18,Stardock Entertainment,,49800.0
76561197962104795,2015-09-10,"KrossRails,Dovetail Games",,33650.0
76561198054465623,2012-05-22,Reloaded Productions,,901478.0
76561198074257942,2015-01-17,Wadjet Eye Games,,33660.0
aaropro,2014-10-24,Team 6 Studios,,34281.0
Aaron_ggf,2014-10-27,"Vicious Cycle Software, Inc.",,34272.0
76561198074324939,2015-10-01,"Gaslamp Games, Inc.",,34270.0
abhorence,2014-05-02,Frozenbyte,,34276.0
abiam,2013-05-06,ASTRO PORT,,34274.0
76561198037346576,2016-03-24,Lionhead Studios,,34275.0
FrankoWalker,2016-05-06,Avalanche Studios,,34277.0
LightfootSword7,2015-08-31,"D3Publisher of America, Inc.",,34273.0
DaDanMan,2015-01-10,Unigine Corp.,,34280.0
SALTTHEW0UND,2014-01-04,NeocoreGames,,34278.0
abuffalostuckinatree,2015-04-24,NEOCORE GAMES,,34282.0
express157,2014-02-21,Lizsoft,,34279.0
76561198070215484,2015-07-13,"Coreplay GmbH,Bigmoon Studios",,34010.0
76561198074644990,2014-04-03,RichMakeGame,,22610.0
76561198064304806,2014-08-29,Q-Games Ltd.,,22440.0
3456457568,2016-06-08,Owlchemy Labs,,18508.0
76561198045776691,2015-01-04,Puppygames,,22430.0
TomoeMamiewe,2014-05-16,"WXP Games, LLC",,22410.0
76561198057086148,2015-11-26,Thomson Interactive,,22420.0
Acidius99,2014-05-20,Trashmasters,,630.0
76561198067150343,2014-03-25,Little Green Men Games,,22400.0
acorn13,2014-09-02,Hitbox Team,,24780.0
adamcookie,2015-02-05,Wild Shadow Studios,,33670.0
AddzyTheBaddzy,2015-02-06,Brandon Brizzi,,40420.0
mrfunkyjunkie,2013-12-24,"UBIart Montpellier,Feral Interactive (Mac)",,34920.0
76561197997824340,2015-12-11,Med-Art,,48136.0
76561198076154360,2016-06-24,virtualRailroads,,46720.0
76561198055524901,2014-06-21,Strange Loop Games,,28000.0
mradobe7,2016-06-03,Cobra Mobile,,39680.0
zomboy151,2015-07-09,Bootsnake Games,,25962.0
76561198167207237,2014-07-31,Aerosoft GmbH,,24634.0
cancerkek,2012-07-12,Tribute Games Inc.,,63900.0
matto1499,2016-08-14,Most Wanted Entertainment,,50130.0
76561198073508075,2015-02-02,Trickstar Games,,24075.0
76561198074323290,2013-12-16,Nimbly Games,,47540.0
76561198090899557,2014-01-05,3 Sprockets,,50510.0
76561198072468669,2015-03-11,Strawdog Studios Ltd,,25760.0
Advancebest,2016-08-28,Nihon Falcom,,25763.0
advenger95,2015-12-25,Eden Industries,,25762.0
EndAtHallow,2015-11-29,PomPom Games,,25764.0
76561198060820384,2014-04-13,Trapdoor Inc.,,42980.0
