,item_id,sentiment_analysis
322,339280,1
323,314130,0
324,570,1
325,212680,2
326,200210,2
327,440,2
328,440,1
329,4000,2
330,211820,1
331,10180,1
332,252490,1
333,417860,1
334,251970,2
335,359550,1
336,107410,2
337,218230,1
338,437701,1
339,304930,1
340,400,2
341,620,2
342,238460,2
343,6060,2
344,440,2
345,730,2
346,265610,2
347,31280,1
348,4000,2
349,240,2
350,440,2
351,252490,0
352,8930,2
353,304930,2
354,237310,1
355,224260,2
356,230410,1
357,440,2
358,440,2
359,219640,0
360,570,2
361,8930,2
362,105600,0
363,221100,2
364,107410,2
365,231430,1
366,218620,2
367,225540,2
368,570,2
369,333930,0
370,230410,1
371,271590,1
372,218620,1
373,219740,2
374,7940,2
375,234190,0
376,10180,2
377,33900,2
378,261030,2
379,243470,1
380,302830,1
381,570,1
382,218620,1
383,4700,1
384,212680,0
385,304930,0
386,730,1
387,304050,2
388,203750,0
389,227940,1
390,355180,1
391,730,0
392,4000,1
393,236390,2
394,221100,0
395,365590,1
396,299740,2
397,346110,1
398,275850,0
399,400800,0
400,252490,2
401,437220,2
402,730,2
403,440,2
404,301520,1
405,433340,2
406,440,1
407,4000,2
408,302830,1
409,220200,2
410,242760,1
411,352460,2
412,322920,2
413,234792,1
414,252490,1
415,304050,1
416,297130,1
417,397570,1
418,550,2
419,206420,2
420,278360,1
421,10180,2
422,242760,2
423,304930,1
424,441790,2
425,265750,1
426,252490,2
427,4000,2
428,211820,0
429,105600,2
430,251570,2
431,730,2
432,233110,0
433,322910,2
434,276340,2
435,227940,1
436,304930,1
437,730,1
438,448530,1
439,304410,2
440,620,2
441,274920,2
442,211820,2
443,219890,1
444,49520,2
445,223510,1
446,440,2
447,252950,2
448,240,1
449,105600,1
450,204300,2
451,730,1
452,440,0
453,570,0
454,268750,2
455,570,2
456,570,2
457,271590,2
458,360870,1
459,730,2
460,230410,0
461,12900,2
462,301520,1
463,6060,0
464,730,2
465,107410,1
466,304930,2
467,335670,0
468,215080,2
469,570,1
470,271590,1
471,730,2
472,244160,2
473,270880,2
474,8190,1
475,247730,0
476,233630,1
477,303390,1
478,221100,2
479,208812,0
480,218620,1
481,243120,2
482,234140,2
483,204450,2
484,225260,1
485,50300,2
486,201810,2
487,212630,0
488,427820,1
489,500,2
490,440,2
491,49520,2
492,550,2
493,206420,1
494,213670,2
495,550,2
496,231040,2
497,221100,1
498,376300,2
499,351040,2
500,250600,2
501,227940,1
502,437220,2
503,221100,2
504,301520,1
505,264710,2
506,218620,1
507,206420,1
508,47790,2
509,570,2
510,236110,0
511,346110,0
512,232790,1
513,440,2
514,70,1
515,420,2
516,380,2
517,220,2
518,1250,2
519,339230,1
520,349700,2
521,226700,2
522,209160,2
523,219990,0
524,213670,1
525,21100,0
526,8190,1
527,215470,0
528,730,2
529,1250,2
530,4000,1
531,401650,1
532,35450,2
533,230410,2
534,304930,0
535,290020,1
536,248860,1
537,211820,1
538,226700,0
539,244850,1
540,298260,1
541,370240,0
542,730,2
543,233450,1
544,214420,2
545,365670,1
546,440,2
547,4000,2
548,221260,1
549,369070,1
550,91310,0
551,218620,0
552,419070,1
553,333930,1
554,287700,1
555,302830,1
556,24240,2
557,39800,1
558,250600,1
559,105600,2
560,113020,1
561,440,1
562,221100,1
563,238960,1
564,310370,1
565,260410,1
566,236390,0
567,221100,1
568,383870,2
569,248820,1
570,730,2
571,550,2
572,204030,2
573,440,2
574,383080,2
575,304930,2
576,242760,1
577,207230,2
578,9180,0
579,730,0
580,10150,2
581,4000,2
582,214950,1
583,218620,2
584,292030,2
585,261640,2
586,220240,2
587,271290,0
588,313740,1
589,34330,1
590,271590,2
591,570,2
592,291550,2
593,259080,2
594,233250,1
595,256350,2
596,249380,2
597,275850,0
598,337320,1
599,391540,0
600,265930,1
601,620,2
602,730,1
603,10090,2
604,251570,1
605,218680,1
606,252490,2
607,251060,1
608,252490,0
609,22370,2
610,307690,1
611,72850,2
612,1250,1
613,440,0
614,440,2
615,570,1
616,248610,1
617,208090,2
618,250340,2
619,244850,2
620,221640,2
621,104900,2
622,105600,2
623,9450,1
624,262410,2
625,222940,2
626,221040,2
627,221100,1
628,286570,1
629,263440,2
630,4000,2
631,223710,1
632,317360,2
633,108600,0
634,259080,2
635,208520,1
636,239660,1
637,304930,2
638,730,2
639,495890,1
640,472680,1
641,4000,2
642,295270,2
643,265930,2
644,283920,1
645,440,2
646,294650,1
647,432020,0
648,233720,1
649,319630,0
650,12120,1
651,241930,1
652,428690,2
653,55230,2
654,243470,0
655,227860,0
656,218620,1
657,208090,0
658,730,2
659,228280,1
660,240760,1
661,226700,1
662,250900,2
663,35450,1
664,9900,2
665,212680,2
666,346110,1
667,236370,1
668,381210,1
669,265930,1
670,218620,1
671,205100,2
672,570,1
673,271290,2
674,570,1
675,346010,2
676,239250,0
677,313120,2
678,211820,2
679,218620,0
680,12210,0
681,220240,1
682,17300,1
683,206440,2
684,209100,0
685,209000,1
686,218060,2
687,24240,2
688,440,2
689,224540,0
690,242860,0
691,47410,2
692,34330,0
693,730,0
694,220200,1
695,113020,1
696,105600,2
697,9480,2
698,359870,1
699,22230,0
700,203770,2
701,550,2
702,259080,1
703,72850,1
704,8870,1
705,230410,1
706,200260,0
707,19900,2
708,241540,2
709,220,2
710,227940,0
711,236390,2
712,17390,2
713,359320,1
714,317360,1
715,253030,1
716,295110,2
717,264710,2
718,274310,1
719,4000,2
720,252470,1
721,730,2
722,344770,2
723,22380,2
724,440,2
725,9900,2
726,107410,1
727,221640,2
728,202170,2
729,49520,1
730,245490,2
731,313120,1
732,113020,1
733,319510,2
734,20,1
735,209080,0
736,223470,1
737,417860,1
738,269250,1
739,313740,0
740,8190,0
741,377160,1
742,730,1
743,244850,2
744,212500,1
745,570,0
746,104900,1
747,12160,1
748,219990,2
749,293260,2
750,219640,2
751,214420,2
752,105600,1
753,440,1
754,200210,2
755,218130,2
756,252490,1
757,270210,1
758,386070,1
759,8930,2
760,330830,2
761,218230,2
762,104900,2
763,440,2
764,240,1
765,8980,0
766,31270,1
767,113200,1
768,8190,1
769,43000,2
770,18700,1
771,98800,1
772,107100,2
773,630,1
774,57300,2
775,213670,2
776,218620,1
777,226620,1
778,391540,0
779,570,1
780,730,1
781,105600,2
782,209870,2
783,265630,1
784,401920,1
785,33230,2
786,239200,1
787,440,1
788,346900,1
789,363970,2
790,65790,2
791,72850,2
792,57300,0
793,230410,2
794,630,2
795,70,1
796,8500,0
797,244850,2
798,221100,0
799,99900,2
800,250900,2
801,211820,2
802,380600,2
803,22380,1
804,252490,0
805,2450,1
806,241540,0
807,220200,2
808,47780,2
809,377160,0
810,4000,2
811,107410,1
812,230190,1
813,435881,2
814,490650,2
815,391270,1
816,301520,2
817,227680,2
818,246420,1
819,289130,2
820,234630,2
821,253030,1
822,249050,2
823,418340,2
824,223850,2
825,263020,0
826,287980,1
827,245550,2
828,570,1
829,304050,1
830,417860,1
831,96100,0
832,4000,1
833,570,2
834,440,2
835,230410,2
836,80,1
837,56400,2
838,257850,1
839,72850,1
840,105600,1
841,219150,2
842,204450,2
843,239140,2
844,322500,2
845,218620,2
846,440,2
847,385770,2
848,252630,2
849,212200,2
850,218680,1
851,230410,2
852,4000,1
853,346900,2
854,440,2
855,387860,0
856,221640,0
857,387990,1
858,310560,0
859,630,2
860,223470,2
861,253430,2
862,620,2
863,4000,2
864,440,2
865,730,2
866,72850,1
867,730,1
868,105600,2
869,550,1
870,369580,2
871,282440,1
872,1250,1
873,440,1
874,8400,1
875,271590,0
876,225640,1
877,113420,2
878,226700,0
879,377160,2
880,421770,0
881,239220,1
882,224600,1
883,236690,1
884,440,2
885,17100,1
886,243870,2
887,223750,2
888,65980,1
889,236390,0
890,400250,2
891,296240,2
892,320,1
893,8500,2
894,289130,2
895,202970,2
896,20920,2
897,265930,2
898,346110,2
899,304930,2
900,236390,2
901,270370,0
902,268650,1
903,224540,1
904,219640,2
905,233450,1
906,440,2
907,4000,2
908,236390,1
909,391540,2
910,215530,1
911,379720,1
912,226860,0
913,251570,1
914,55230,1
915,259700,1
916,261640,2
917,730,1
918,440,2
919,221100,1
920,287700,0
921,359550,0
922,22380,1
923,570,2
924,4000,2
925,304050,1
926,570,1
927,310380,2
928,4000,2
929,4000,1
930,233270,2
931,230410,2
932,383980,0
933,304050,1
934,212680,2
935,391460,0
936,107410,2
937,200210,0
938,304930,0
939,226700,2
940,113020,2
941,219740,2
942,221100,1
943,393010,2
944,208090,2
945,440,2
946,440,2
947,440,1
948,730,2
949,247730,0
950,218230,2
951,205890,1
952,570,1
953,8400,1
954,434260,2
955,359290,1
956,10500,2
957,730,1
958,265630,1
959,440,1
960,218620,0
961,220240,2
962,34900,0
963,113200,2
964,239160,0
965,220240,1
966,440,2
967,630,2
968,218620,0
969,208090,1
970,230410,0
971,322330,1
972,241930,2
973,1250,2
974,200210,1
975,238460,2
976,730,2
977,105600,2
978,440,2
979,72850,1
980,730,2
981,236390,0
982,290300,0
983,295110,2
984,301520,2
985,346560,1
986,328220,2
987,256410,2
988,730,1
989,252490,2
990,203160,2
991,39120,2
992,218620,2
993,239070,1
994,91310,2
995,730,2
996,265770,0
997,105600,1
998,10,1
999,730,0
1000,242760,1
1001,239140,0
1002,72850,1
1003,263280,2
1004,252490,2
1005,386360,1
1006,310380,2
1007,304930,2
1008,363970,1
1009,570,0
1010,295110,0
1011,252490,0
1012,319630,0
1013,220,2
1014,4000,2
1015,48700,2
1016,255710,0
1017,364360,1
1018,730,1
1019,236390,1
1020,4000,2
1021,550,0
1022,271590,0
1023,219640,2
1024,304930,2
1025,247730,1
1026,265630,1
1027,263280,0
1028,730,0
1029,369200,0
1030,288470,1
1031,298110,1
1032,730,1
1033,282140,0
1034,323370,2
1035,209870,2
1036,216250,2
1037,50300,1
1038,381210,1
1039,333930,1
1040,10680,0
1041,238320,0
1042,236390,2
1043,34330,2
1044,440,2
1045,300570,2
1046,201420,1
1047,220240,1
1048,211420,1
1049,238260,2
1050,206210,2
1051,570,2
1052,440,2
1053,6060,2
1054,440,0
1055,4000,1
1056,364360,1
1057,238430,1
1058,248820,2
1059,221100,2
1060,202970,2
1061,4000,2
1062,570,1
1063,344760,1
1064,251570,2
1065,290080,1
1066,313120,2
1067,374320,2
1068,222880,1
1069,252950,2
1070,318420,2
1071,225540,1
1072,4000,2
1073,440,2
1074,237930,2
1075,570,1
1076,339610,0
1077,293780,2
1078,20530,2
1079,208090,2
1080,57300,1
1081,39150,2
1082,70,2
1083,13210,2
1084,22120,2
1085,449710,2
1086,204100,1
1087,319740,2
1088,244050,0
1089,270370,2
1090,33930,1
1091,352460,1
1092,251570,2
1093,271590,2
1094,24860,2
1095,333950,1
1096,72850,2
1097,333930,2
1098,346010,1
1099,730,2
1100,49520,0
1101,242720,2
1102,238460,2
1103,251630,1
1104,220240,0
1105,4000,1
1106,346110,1
1107,4000,1
1108,335300,1
1109,218620,1
1110,550,0
1111,218620,2
1112,55140,2
1113,218620,1
1114,730,0
1115,318430,2
1116,570,1
1117,440,0
1118,252490,1
1119,230410,1
1120,218620,1
1121,323470,1
1122,271290,2
1123,630,2
1124,10680,2
1125,334230,0
1126,48700,0
1127,8930,1
1128,474750,2
1129,224260,1
1130,570,2
1131,252490,0
1132,730,1
1133,243470,0
1134,225260,0
1135,45730,1
1136,99400,0
1137,96100,0
1138,1250,2
1139,213650,1
1140,429720,1
1141,340050,0
1142,234190,2
1143,261880,2
1144,230840,1
1145,263760,2
1146,233190,1
1147,211420,1
1148,220780,2
1149,730,1
1150,304930,1
1151,440,1
1152,237740,1
1153,6830,2
1154,48700,1
1155,383080,2
1156,363970,1
1157,730,1
1158,440,2
1159,212180,1
1160,72850,0
1161,4560,2
1162,203770,0
1163,17700,2
1164,25890,0
1165,385770,2
1166,72850,1
1167,383870,2
1168,22100,2
1169,8930,2
1170,730,2
1171,316010,2
1172,200210,1
1173,10090,1
1174,291550,1
1175,41300,2
1176,268750,1
1177,304930,2
1178,4000,2
1179,440,2
1180,291550,2
1181,224760,2
1182,219640,2
1183,322910,1
1184,6060,2
1185,291480,1
1186,4920,2
1187,333930,2
1188,4000,1
1189,230410,0
1190,433340,1
1191,274940,2
1192,311690,1
1193,8980,2
1194,730,2
1195,266840,2
1196,344760,2
1197,72850,2
1198,440,2
1199,246620,1
1200,226700,1
1201,393420,0
1202,461560,2
1203,368360,0
1204,208090,1
1205,237870,2
1206,224540,2
1207,386360,0
1208,248570,2
1209,12120,2
1210,221100,2
1211,570,1
1212,1840,2
1213,105600,0
1214,301520,1
1215,292030,1
1216,298110,0
1217,252490,2
1218,440,1
1219,72200,2
1220,252490,1
1221,230410,1
1222,305620,1
1223,239030,2
1224,200210,1
1225,620,1
1226,211820,2
1227,570,1
1228,42910,0
1229,219640,0
1230,550,1
1231,99900,0
1232,240,1
1233,218620,1
1234,211820,1
1235,8870,1
1236,24860,2
1237,250420,0
1238,238960,2
1239,246280,1
1240,255710,2
1241,220200,2
1242,440,1
1243,2700,2
1244,94400,2
1245,346110,0
1246,42910,2
1247,238010,2
1248,241930,1
1249,418340,2
1250,302590,2
1251,242880,1
1252,394230,2
1253,107100,1
1254,22380,2
1255,378648,2
1256,292030,2
1257,440,2
1258,209080,2
1259,56400,1
1260,49600,2
1261,408740,1
1262,413150,0
1263,109600,2
1264,303210,1
1265,440,1
1266,233720,2
1267,205350,1
1268,330840,1
1269,218230,0
1270,19000,1
1271,242050,2
1272,218620,2
1273,323500,2
1274,12210,0
1275,50650,1
1276,206420,2
1277,4000,1
1278,267750,2
1279,259720,2
1280,293920,1
1281,248310,2
1282,49520,2
1283,238430,1
1284,220240,2
1285,22380,1
1286,201810,2
1287,72850,2
1288,221100,0
1289,730,1
1290,10680,2
1291,252490,1
1292,49520,0
1293,219640,1
1294,570,2
1295,391540,1
1296,433950,1
1297,239140,2
1298,346010,1
1299,105600,2
1300,4000,2
1301,417860,1
1302,265930,0
1303,400,2
1304,730,0
1305,305620,1
1306,348960,1
1307,435870,1
1308,275850,0
1309,220200,2
1310,304930,1
1311,440,2
1312,4000,2
1313,17520,1
1314,109400,2
1315,252490,1
1316,218230,2
1317,4920,2
1318,287920,2
1319,323370,2
1320,384490,1
1321,413150,2
1322,48700,1
1323,70000,0
1324,232810,1
1325,244410,2
1326,394360,0
1327,207140,1
1328,31280,0
1329,17480,2
1330,332800,0
1331,319510,2
1332,105600,1
1333,105450,2
1334,107410,2
1335,225260,2
1336,239350,1
1337,219150,0
1338,222880,1
1339,4000,2
1340,440,2
1341,230410,2
1342,39000,0
1343,570,2
1344,263500,2
1345,440,1
1346,20500,2
1347,249650,2
1348,730,0
1349,440,2
1350,105600,1
1351,730,1
1352,200510,1
1353,730,1
1354,221180,2
1355,313740,0
1356,301520,0
1357,227940,1
1358,35450,2
1359,302830,1
1360,219740,1
1361,242760,1
1362,40800,2
1363,113200,1
1364,391540,0
1365,389570,1
1366,440,1
1367,252490,1
1368,8870,1
1369,203160,2
1370,301520,1
1371,99900,0
1372,72850,1
1373,221100,1
1374,440,2
1375,393420,0
1376,291550,2
1377,396900,1
1378,304930,1
1379,286160,2
1380,227940,1
1381,313120,2
1382,220200,2
1383,285900,2
1384,1840,2
1385,206190,1
1386,268650,2
1387,304930,2
1388,223670,2
1389,107100,2
1390,420,2
1391,400,1
1392,239720,0
1393,224060,2
1394,376560,1
1395,290750,1
1396,220,1
1397,230410,1
1398,243870,1
1399,349700,1
1400,25890,0
1401,4000,1
1402,42960,0
1403,304930,1
1404,365590,1
1405,265930,1
1406,236090,2
1407,301520,1
1408,105600,1
1409,17080,2
1410,218230,2
1411,440,2
1412,730,2
1413,49520,2
1414,6860,1
1415,730,2
1416,204360,2
1417,570,2
1418,730,0
1419,206210,2
1420,431240,1
1421,730,2
1422,4000,0
1423,363620,1
1424,397340,1
1425,107410,1
1426,206420,2
1427,329650,1
1428,107410,0
1429,203290,1
1430,72850,2
1431,391540,1
1432,304050,1
1433,620,2
1434,33930,2
1435,412830,2
1436,440,2
1437,364360,2
1438,22380,1
1439,6020,1
1440,224260,1
1441,221100,1
1442,35450,1
1443,246620,2
1444,105600,2
1445,4000,2
1446,211820,0
1447,275850,1
1448,4000,1
1449,319510,2
1450,292030,0
1451,20920,2
1452,206420,2
1453,312280,2
1454,417860,1
1455,440,2
1456,311210,2
1457,227940,2
1458,730,2
1459,4000,0
1460,273110,2
1461,570,2
1462,224260,0
1463,8870,1
1464,200510,2
1465,22380,1
1466,322500,1
1467,4000,1
1468,238460,2
1469,225540,2
1470,105600,2
1471,34900,1
1472,440,0
1473,105600,1
1474,264200,2
1475,42680,2
1476,354140,2
1477,4000,1
1478,218230,2
1479,550,2
1480,208090,2
1481,34830,0
1482,291210,2
1483,4000,0
1484,730,2
1485,236390,1
1486,730,1
1487,252950,2
1488,203140,1
1489,202970,2
1490,47410,1
1491,252490,1
1492,204450,2
1493,355180,1
1494,440,0
1495,730,1
1496,218620,2
1497,233270,0
1498,218230,2
1499,218620,2
1500,239030,1
1501,41700,1
1502,218620,1
1503,24240,1
1504,440,2
1505,200510,2
1506,325610,2
1507,203140,1
1508,39120,1
1509,72850,2
1510,570,1
1511,261030,2
1512,385730,2
1513,8930,2
1514,301640,2
1515,223850,2
1516,223710,2
1517,236390,1
1518,244450,0
1519,8190,0
1520,41700,1
1521,50130,2
1522,227940,2
1523,51100,2
1524,22380,0
1525,35420,2
1526,275850,1
1527,221100,2
1528,353690,1
1529,238430,1
1530,208090,2
1531,24240,2
1532,224260,1
1533,202970,0
1534,377160,1
1535,253710,1
1536,334230,0
1537,440,0
1538,4000,1
1539,265630,1
1540,219740,2
1541,228180,2
1542,209160,2
1543,219740,1
1544,730,2
1545,730,0
1546,262060,2
1547,289650,1
1548,255480,2
1549,11610,2
1550,4000,1
1551,323370,1
1552,22380,2
1553,550,1
1554,271590,1
1555,440,2
1556,374570,2
1557,238960,2
1558,440,1
1559,12110,1
1560,221100,1
1561,377160,2
1562,383080,1
1563,730,2
1564,202970,2
1565,730,2
1566,4000,1
1567,231430,2
1568,383080,2
1569,105600,1
1570,304930,2
1571,440,1
1572,211820,2
1573,17520,1
1574,330830,2
1575,214490,1
1576,2600,1
1577,330840,2
1578,282070,1
1579,230230,2
1580,207610,1
1581,70,1
1582,20900,1
1583,212680,2
1584,311210,2
1585,242760,2
1586,221100,1
1587,252490,1
1588,221100,1
1589,291480,2
1590,230410,2
1591,105600,1
1592,306130,0
1593,313160,2
1594,730,1
1595,416690,2
1596,304930,1
1597,33930,2
1598,371190,2
1599,730,1
1600,9930,1
1601,440,1
1602,224540,2
1603,263020,2
1604,207140,2
1605,67370,2
1606,250600,1
1607,205100,2
1608,227680,0
1609,251570,0
1610,264710,0
1611,263440,0
1612,250900,2
1613,218620,0
1614,251990,1
1615,230410,2
1616,227280,1
1617,311690,0
1618,316010,1
1619,107410,1
1620,4920,1
1621,224260,1
1622,304930,2
1623,346120,2
1624,22120,0
1625,212800,2
1626,241640,2
1627,42700,0
1628,273350,0
1629,379720,1
1630,242760,0
1631,364360,1
1632,241930,2
1633,251570,1
1634,423880,0
1635,207610,0
1636,383080,1
1637,4000,0
1638,8930,2
1639,4700,2
1640,10500,2
1641,22370,2
1642,209730,1
1643,570,2
1644,65980,1
1645,208090,1
1646,570,2
1647,351555,2
1648,404090,2
1649,250400,1
1650,332350,2
1651,208090,1
1652,72850,2
1653,201700,1
1654,570,2
1655,10180,2
1656,107410,1
1657,244850,2
1658,213670,1
1659,228380,2
1660,203160,2
1661,242920,1
1662,314020,2
1663,223470,0
1664,57690,1
1665,317360,1
1666,233130,0
1667,218620,1
1668,249130,2
1669,440,1
1670,204300,1
1671,730,0
1672,301520,1
1673,227680,1
1674,208090,1
1675,239070,1
1676,48700,0
1677,48705,2
1678,113020,1
1679,440,2
1680,4000,2
1681,304930,2
1682,212680,0
1683,241600,1
1684,104900,0
1685,320350,2
1686,304930,1
1687,440,2
1688,208090,2
1689,440,1
1690,105600,2
1691,304930,1
1692,4000,2
1693,374320,1
1694,58610,1
1695,432020,0
1696,301520,1
1697,263060,2
1698,301520,0
1699,8980,2
1700,233250,2
1701,48700,2
1702,236390,2
1703,322170,2
1704,24720,2
1705,216150,2
1706,105600,2
1707,325610,2
1708,239140,1
1709,244850,1
1710,282070,1
1711,730,1
1712,730,1
1713,224500,2
1714,416670,1
1715,280790,2
1716,233860,1
1717,312990,1
1718,550,2
1719,287450,0
1720,105450,1
1721,221380,1
1722,105600,2
1723,304930,0
1724,570,1
1725,730,0
1726,211420,1
1727,273350,2
1728,265300,2
1729,730,2
1730,200210,2
1731,218620,1
1732,252490,2
1733,211820,1
1734,730,1
1735,440,1
1736,57690,2
1737,55140,1
1738,22380,1
1739,4560,2
1740,570,0
1741,730,2
1742,434260,1
1743,268750,1
1744,212680,2
1745,278080,0
1746,234330,2
1747,105600,2
1748,236430,2
1749,374320,2
1750,286160,1
1751,271290,1
1752,248570,0
1753,4000,2
1754,244850,2
1755,218620,1
1756,440,2
1757,250900,1
1758,250500,2
1759,238240,0
1760,730,1
1761,47870,1
1762,287390,1
1763,304930,2
1764,6060,2
1765,468240,2
1766,397610,2
1767,218620,0
1768,204180,2
1769,232090,1
1770,373770,2
1771,221640,1
1772,224420,0
1773,270550,2
1774,104900,2
1775,51100,2
1776,204300,2
1777,730,2
1778,113020,1
1779,224540,1
1780,4000,2
1781,496920,1
1782,275850,1
1783,319630,2
1784,278360,1
1785,346110,0
1786,264710,1
1787,319510,1
1788,730,2
1789,388090,1
1790,1250,1
1791,43110,2
1792,222880,2
1793,243870,2
1794,222900,2
1795,49520,2
1796,730,1
1797,209870,1
1798,218230,1
1799,383120,0
1800,304930,2
1801,99900,2
1802,241930,1
1803,228940,1
1804,49470,2
1805,255420,0
1806,251570,1
1807,730,2
1808,230410,0
1809,440,2
1810,72850,1
1811,42680,2
1812,550,2
1813,319630,1
1814,379720,2
1815,218620,2
1816,266010,1
1817,235460,1
1818,49520,2
1819,251060,2
1820,327890,1
1821,241540,1
1822,239140,1
1823,261030,2
1824,333930,1
1825,244850,1
1826,265630,2
1827,301520,1
1828,570,2
1829,227700,2
1830,314710,1
1831,244850,1
1832,570,2
1833,204360,0
1834,243870,0
1835,730,1
1836,245170,0
1837,204100,1
1838,7670,2
1839,206190,1
1840,221100,1
1841,730,2
1842,13140,1
1843,72840,2
1844,8930,2
1845,4560,2
1846,730,1
1847,317400,2
1848,440,1
1849,620,2
1850,21690,2
1851,570,1
1852,214490,0
1853,304240,2
1854,214250,2
1855,70,0
1856,38410,2
1857,274190,1
1858,346110,1
1859,70000,2
1860,321360,2
1861,304930,2
1862,570,1
1863,220,1
1864,550,1
1865,730,1
1866,255710,1
1867,233720,1
1868,105600,0
1869,265930,0
1870,233450,1
1871,730,2
1872,239800,1
1873,333930,2
1874,329490,0
1875,278080,2
1876,250600,2
1877,275850,0
1878,218620,1
1879,230410,2
1880,304930,0
1881,200210,2
1882,319630,2
1883,450660,2
1884,49600,1
1885,730,1
1886,221640,1
1887,238460,1
1888,302380,1
1889,210770,2
1890,105600,0
1891,730,1
1892,8870,2
1893,409160,2
1894,49520,0
1895,243870,0
1896,204300,1
1897,374570,1
1898,274190,2
1899,219150,2
1900,225140,1
1901,730,1
1902,233720,0
1903,239030,0
1904,265810,0
1905,440,2
1906,41070,0
1907,224540,0
1908,730,2
1909,224260,2
1910,570,0
1911,219740,1
